Date,Open,High,Low,Close,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions. ,Volume  
1-Dec-18,"36,396.69","36,554.99","34,426.29","36,068.33","36,068.33","121,837,500"
1-Nov-18,"34,650.63","36,389.22","34,303.38","36,194.30","36,194.30","399,800"
1-Oct-18,"36,274.25","36,616.64","33,291.58","34,442.05","34,442.05","441,200"
1-Sep-18,"38,915.91","38,934.35","35,985.63","36,227.14","36,227.14","305,800"
1-Aug-18,"37,643.87","38,989.65","37,128.99","38,645.07","38,645.07","263,300"
1-Jul-18,"35,545.22","37,644.59","35,106.57","37,606.58","37,606.58","273,300"
1-Jun-18,"35,373.98","35,877.41","34,784.68","35,423.48","35,423.48","321,000"
1-May-18,"35,328.91","35,993.53","34,302.89","35,322.38","35,322.38","239,400"
1-Apr-18,"33,030.87","35,213.30","32,972.56","35,160.36","35,160.36","227,700"
1-Mar-18,"34,141.22","34,278.63","32,483.84","32,968.68","32,968.68","266,400"
1-Feb-18,"36,048.99","36,256.83","33,482.81","34,184.04","34,184.04","342,600"
1-Jan-18,"34,059.99","36,443.98","33,703.37","35,965.02","35,965.02","382,500"
1-Dec-17,"33,247.66","34,137.97","32,565.16","34,056.83","34,056.83","252,700"
1-Nov-17,"33,344.23","33,865.95","32,683.59","33,149.35","33,149.35","718,100"
1-Oct-17,"31,537.81","33,340.17","31,440.48","33,213.13","33,213.13","209,400"
1-Sep-17,"31,769.34","32,524.11","31,081.83","31,283.72","31,283.72","233,900"
1-Aug-17,"32,579.80","32,686.48","31,128.02","31,730.49","31,730.49","241,300"
1-Jul-17,"31,156.04","32,672.66","31,017.11","32,514.94","32,514.94","258,300"
1-Jun-17,"31,117.09","31,522.87","30,680.66","30,921.61","30,921.61","329,400"
1-May-17,"30,021.49","31,255.28","29,804.12","31,145.80","31,145.80","282,400"
1-Apr-17,"29,737.73","30,184.22","29,241.48","29,918.40","29,918.40","194,700"
1-Mar-17,"28,849.04","29,824.62","28,716.21","29,620.50","29,620.50","1,536,500"
1-Feb-17,"27,669.08","29,065.31","27,590.10","28,743.32","28,743.32","240,100"
1-Jan-17,"26,711.15","27,980.39","26,447.06","27,655.96","27,655.96","201,400"
1-Dec-16,"26,756.66","26,803.76","25,753.74","26,626.46","26,626.46","189,300"
1-Nov-16,"27,966.18","28,029.80","25,717.93","26,652.81","26,652.81","261,000"
1-Oct-16,"27,997.29","28,477.65","27,488.30","27,941.51","27,941.51","228,500"
1-Sep-16,"28,459.09","29,077.28","27,716.78","27,865.96","27,865.96","258,900"
1-Aug-16,"28,083.08","28,532.25","27,627.97","28,452.17","28,452.17","280,700"
1-Jul-16,"27,064.33","28,240.20","27,034.14","28,051.86","28,051.86","266,300"
1-Jun-16,"26,684.46","27,105.41","25,911.33","26,999.72","26,999.72","245,400"
1-May-16,"25,565.44","26,837.20","25,057.93","26,667.96","26,667.96","280,500"
1-Apr-16,"25,301.70","26,100.54","24,523.20","25,606.62","25,606.62","236,300"
1-Mar-16,"23,153.32","25,479.62","23,133.18","25,341.86","25,341.86","301,700"
1-Feb-16,"24,982.22","25,002.32","22,494.61","23,002.00","23,002.00","364,500"
1-Jan-16,"26,116.52","26,116.52","23,839.76","24,870.69","24,870.69","220,300"
1-Dec-15,"26,201.27","26,256.42","24,867.73","26,117.54","26,117.54","218,600"
1-Nov-15,"26,641.69","26,824.30","25,451.42","26,145.67","26,145.67","196,700"
1-Oct-15,"26,344.19","27,618.14","26,168.71","26,656.83","26,656.83","242,600"
1-Sep-15,"26,127.04","26,471.82","24,833.54","26,154.83","26,154.83","313,100"
1-Aug-15,"28,089.09","28,417.59","25,298.42","26,283.09","26,283.09","286,800"
1-Jul-15,"27,823.65","28,578.33","27,416.39","28,114.56","28,114.56","217,000"
1-Jun-15,"27,770.79","27,968.75","26,307.07","27,780.83","27,780.83","241,700"
1-May-15,"27,204.63","28,071.16","26,423.99","27,828.44","27,828.44","217,100"
1-Apr-15,"27,954.86","29,094.61","26,897.54","27,011.31","27,011.31","218,100"
1-Mar-15,"29,533.42","30,024.74","27,248.45","27,957.49","27,957.49","256,500"
1-Feb-15,"29,143.63","29,522.86","28,044.49","29,220.12","29,220.12","245,200"
1-Jan-15,"27,521.28","29,844.16","26,776.12","29,182.95","29,182.95","227,900"
1-Dec-14,"28,748.22","28,809.64","26,469.42","27,499.42","27,499.42","199,600"
1-Nov-14,"27,943.04","28,822.37","27,739.56","28,693.99","28,693.99","164,500"
1-Oct-14,"26,681.47","27,894.32","25,910.77","27,865.83","27,865.83","147,200"
1-Sep-14,"26,733.18","27,354.99","26,220.49","26,630.51","26,630.51","178,100"
1-Aug-14,"25,753.92","26,674.38","25,232.82","26,638.11","26,638.11","156,800"
1-Jul-14,"25,469.94","26,300.17","24,892.00","25,894.97","25,894.97","232,000"
1-Jun-14,"24,368.96","25,735.87","24,270.20","25,413.78","25,413.78","271,700"
1-May-14,"22,493.59","25,375.63","22,277.04","24,217.34","24,217.34","321,700"
1-Apr-14,"22,455.23","22,939.31","22,197.51","22,417.80","22,417.80","155,700"
1-Mar-14,"21,079.27","22,467.21","20,920.98","22,386.27","22,386.27","365,900"
1-Feb-14,"20,479.03","21,140.51","19,963.12","21,120.12","21,120.12","166,300"
1-Jan-14,"21,222.19","21,409.66","20,343.78","20,513.85","20,513.85","204,900"
1-Dec-13,"20,771.27","21,483.74","20,568.70","21,170.68","21,170.68","198,500"
1-Nov-13,"21,158.81","21,293.88","20,137.67","20,791.93","20,791.93","193,300"
1-Oct-13,"19,452.05","21,205.44","19,264.72","21,164.52","21,164.52","235,400"
1-Sep-13,"18,691.83","20,739.69","18,166.17","19,379.77","19,379.77","264,600"
1-Aug-13,"19,443.29","19,569.20","17,448.71","18,619.72","18,619.72","304,800"
1-Jul-13,"19,352.48","20,351.06","19,126.82","19,345.70","19,345.70","214,900"
1-Jun-13,"19,859.22","19,860.19","18,467.16","19,395.81","19,395.81","197,600"
1-May-13,"19,459.33","20,443.62","19,451.26","19,760.30","19,760.30","198,000"
1-Apr-13,"18,890.81","19,622.68","18,144.22","19,504.18","19,504.18","183,800"
1-Mar-13,"18,876.68","19,754.66","18,568.43","18,835.77","18,835.77","194,000"
1-Feb-13,"19,907.21","19,966.69","18,793.97","18,861.54","18,861.54","179,800"
1-Jan-13,"19,693.30","20,203.66","19,596.38","19,894.98","19,894.98","205,600"
1-Dec-12,"19,342.83","19,612.18","19,149.03","19,426.71","19,426.71","175,200"
1-Nov-12,"18,487.90","19,372.70","18,255.69","19,339.90","19,339.90","163,000"
1-Oct-12,"18,784.64","19,137.29","18,393.42","18,505.38","18,505.38","200,600"
1-Sep-12,"17,465.60","18,869.94","17,250.80","18,762.74","18,762.74","214,200"
1-Aug-12,"17,244.44","17,972.54","17,026.97","17,380.75","17,380.75","213,400"
1-Jul-12,"17,438.68","17,631.19","16,598.48","17,236.18","17,236.18","210,200"
1-Jun-12,"16,217.48","17,448.48","15,748.98","17,429.98","17,429.98","219,600"
1-May-12,"17,370.93","17,432.33","15,809.71","16,218.53","16,218.53","249,800"
1-Apr-12,"17,429.96","17,664.10","17,010.16","17,318.81","17,318.81","212,800"
1-Mar-12,"17,714.62","18,040.69","16,920.61","17,404.20","17,404.20","335,200"
1-Feb-12,"17,179.64","18,523.78","17,061.55","17,752.68","17,752.68","431,400"
1-Jan-12,"15,640.56","17,258.97","15,640.56","17,193.55","17,193.55","336,400"
1-Dec-11,"16,555.93","17,003.71","15,135.86","15,454.92","15,454.92","370,800"
1-Nov-11,"17,540.55","17,702.26","15,478.69","16,123.46","16,123.46","351,600"
1-Oct-11,"16,255.97","17,908.13","15,745.43","17,705.01","17,705.01","308,200"
1-Sep-11,"16,963.67","17,211.80","15,801.01","16,453.76","16,453.76","334,200"
1-Aug-11,"18,352.23","18,440.07","15,765.53","16,676.75","16,676.75","295,600"
1-Jul-11,"18,974.96","19,131.70","18,131.86","18,197.20","18,197.20","249,600"
1-Jun-11,"18,527.12","18,873.39","17,314.38","18,845.87","18,845.87","269,800"
1-May-11,"19,224.05","19,253.87","17,786.13","18,503.28","18,503.28","287,200"
1-Apr-11,"19,463.11","19,811.14","18,976.19","19,135.96","19,135.96","231,000"
1-Mar-11,"17,982.28","19,575.16","17,792.17","19,445.22","19,445.22","375,000"
1-Feb-11,"18,425.18","18,690.97","17,295.62","17,823.40","17,823.40","434,400"
1-Jan-11,"20,621.61","20,664.80","18,038.48","18,327.76","18,327.76","312,600"
1-Dec-10,"19,529.99","20,552.03","19,074.57","20,509.09","20,509.09","291,800"
1-Nov-10,"20,272.49","21,108.64","18,954.82","19,521.25","19,521.25","289,800"
1-Oct-10,"20,094.10","20,854.55","19,768.96","20,032.34","20,032.34","288,400"
1-Sep-10,"18,027.12","20,267.98","18,027.12","20,069.12","20,069.12","334,800"
1-Aug-10,"17,911.31","18,475.27","17,819.99","17,971.12","17,971.12","311,600"
1-Jul-10,"17,679.34","18,237.56","17,395.58","17,868.29","17,868.29","330,600"
1-Jun-10,"16,942.82","17,919.62","16,318.39","17,700.90","17,700.90","500,200"
1-May-10,"17,536.86","17,536.86","15,960.15","16,944.63","16,944.63","398,600"
1-Apr-10,"17,555.04","18,047.86","17,276.80","17,558.71","17,558.71","259,800"
1-Mar-10,"16,438.45","17,793.01","16,438.45","17,527.77","17,527.77","368,400"
1-Feb-10,"16,339.32","16,669.25","15,651.99","16,429.55","16,429.55","351,400"
1-Jan-10,"17,473.45","17,790.33","15,982.08","16,357.96","16,357.96","391,200"
1-Dec-09,"16,947.46","17,530.94","16,577.78","17,464.81","17,464.81","399,600"
1-Nov-09,"15,838.63","17,290.48","15,330.56","16,926.22","16,926.22","478,000"
1-Oct-09,"17,186.20","17,457.26","15,805.20","15,896.28","15,896.28","561,600"
1-Sep-09,"15,691.27","17,142.52","15,356.72","17,126.84","17,126.84","550,400"
1-Aug-09,"15,694.78","16,002.46","14,684.45","15,666.64","15,666.64","599,200"
1-Jul-09,"14,493.84","15,732.81","13,219.99","15,670.31","15,670.31","801,000"
1-Jun-09,"14,790.89","15,600.30","14,016.95","14,493.84","14,493.84","851,800"
1-May-09,"11,635.24","14,930.54","11,621.30","14,625.25","14,625.25","1,050,000"
1-Apr-09,"9,745.77","11,492.10","9,546.29","11,403.25","11,403.25","860,000"
1-Mar-09,"8,762.88","10,127.09","8,047.17","9,708.50","9,708.50","867,600"
1-Feb-09,"9,363.58","9,724.87","8,619.22","8,891.61","8,891.61","653,600"
1-Jan-09,"9,973.06","10,469.72","8,631.60","9,424.24","9,424.24","1,120,000"
1-Dec-08,"9,162.94","10,188.54","8,467.43","9,647.31","9,647.31","1,119,400"
1-Nov-08,"10,209.37","10,945.41","8,316.39","9,092.72","9,092.72","836,800"
1-Oct-08,"13,006.72","13,203.86","7,697.39","9,788.06","9,788.06","872,000"
1-Sep-08,"14,412.99","15,107.01","12,153.55","12,860.43","12,860.43","629,100"
1-Aug-08,"14,064.26","15,579.78","14,002.43","14,564.53","14,564.53","472,400"
1-Jul-08,"13,480.02","15,130.09","12,514.99","14,355.75","14,355.75","670,000"
1-Jun-08,"16,591.46","16,632.72","13,405.54","13,461.60","13,461.60","489,200"
1-May-08,"17,560.15","17,735.70","16,196.02","16,415.57","16,415.57","384,600"
1-Apr-08,"15,771.72","17,480.74","15,297.96","17,287.31","17,287.31","397,300"
1-Mar-08,"17,227.56","17,227.56","14,677.24","15,644.44","15,644.44","444,400"
1-Feb-08,"17,820.67","18,895.34","16,457.74","17,578.72","17,578.72","326,000"
1-Jan-08,"20,393.10","21,206.77","15,332.42","17,648.71","17,648.71","454,600"
